q_low,q_high,meanP,varP
0.16009526786732878,0.2923289276305235,11.236146082959008,0.9904225200234057
0.2923289276305235,0.3161193199965095,11.25408554791702,1.029430816611815
0.3161193199965095,0.33261283569535227,11.253436255498237,1.018154601884048
0.33261283569535227,0.3477802530405327,11.25219614993214,0.9926353419968232
0.3477802530405327,0.3613026002015982,11.246387268667378,0.9952571341313141
0.3613026002015982,0.3746984120961413,11.226029381131621,1.049374272365382
0.3746984120961413,0.38940473395214686,11.21203283706734,1.1030568697020582
0.38940473395214686,0.4054882102858715,11.286052949245798,0.9670027629898071
0.4054882102858715,0.42870083288704197,11.242482044654176,1.0015448736618255
0.42870083288704197,0.5536787302103441,11.285896867903737,0.9319523069526283
